feature,importance_mean,importance_std
hdf,0.21696178196500862,0.005586944556566469
twf,0.10880796209295474,0.002645194058643393
osf,0.08023222519146696,0.004338697986092658
pwf,0.05898025682714884,0.002867023861256889
tool_wear,0.004496243108218756,0.00043415932604356117
process_temperature,0.0006298720788673773,0.0005910959957111088
torque,0.0003614521485940991,0.0018287020610468256
rnf,-5.691441283961485e-06,2.962311162772849e-05
type,-2.5652542926901666e-05,0.00024534564737610997
air_temperature,-0.00229590827556555,0.001193630568435107
rotational_speed,-0.0026558783029209665,0.001870124103471576
